Group,Team,Mat,W,L,T,NRR,Points
A,Lanka Lions Blue,2,1,1,0,-0.423,2
A,Matrix,1,0,1,0,-2.600,0
A,Jolly Boys Yellow,1,1,0,0,2.727,2
A,Kurumba B,0,0,0,0,0.000,0
B,Strickers,0,0,0,0,0.000,0
B,Lanka Lions Gold,0,0,0,0,0.000,0
B,Jolly Boys Red,0,0,0,0,0.000,0
B,Challengers Green,0,0,0,0,0.000,0
C,Titans Blue,0,0,0,0,0.000,0
C,Ceylon Smashers,0,0,0,0,0.000,0
C,VA Legends Red,0,0,0,0,0.000,0
C,Gladiators,0,0,0,0,0.000,0
D,VA Legends Blue,0,0,0,0,0.000,0
D,Challengers Maroon,0,0,0,0,0.000,0
D,Kurumba A,0,0,0,0,0.000,0
D,Titans Gray,0,0,0,0,0.000,0
