Group,Team,Mat,W,L,T,NRR,Points
A,Lanka Lions Blue,3,3,0,0,5.600,6
A,Matrix,3,2,1,0,5.206,4
A,Jolly Boys Yellow,3,1,2,0,-4.605,2
A,Kurumba B,3,0,3,0,-6.656,0
B,Strikers,3,0,3,0,-5.361,0
B,Lanka Lions Gold,3,1,2,0,-1.774,2
B,Jolly Boys Red,3,2,1,0,1.637,4
B,Challengers Green,3,3,0,0,5.471,6
C,Titans Blue,3,1,2,0,-1.006,2
C,Ceylon Smashers,3,2,1,0,0.000,4
C,VA Legends Red,3,3,0,0,7.400,6
C,Gladiators,3,0,3,0,-7.314,0
D,VA Legends Blue,3,1,2,0,-3.200,2
D,Challengers Maroon,3,0,3,0,-4.308,0
D,Kurumba A,3,2,1,0,3.187,4
D,Titans Gray,3,3,0,0,3.733,6
