Group,Team,Mat,W,L,T,NRR,Points
A,Lanka Lions Blue,0,0,0,0,0.000,0
A,Matrix,0,0,0,0,0.000,0
A,Jolly Boys Yellow,1,1,0,0,3.800,2
A,Kurumba B,1,0,1,0,-3.800,0
B,Strikers,0,0,0,0,0.000,0
B,Lanka Lions Gold,1,0,1,0,-3.050,0
B,Jolly Boys Red,0,0,0,0,0.000,0
B,Challengers Green,1,1,0,0,3.050,2
C,Titans Blue,0,0,0,0,0.000,0
C,Ceylon Smashers,1,1,0,0,7.300,2
C,VA Legends Red,0,0,0,0,0.000,0
C,Gladiators,1,0,1,0,-7.300,0
D,VA Legends Blue,1,0,1,0,-2.200,0
D,Challengers Maroon,0,0,0,0,0.000,0
D,Kurumba A,0,0,0,0,0.000,0
D,Titans Gray,1,1,0,0,2.200,2
